Name,Started,County,Location,AcresBurned,PercentContained,Longitude,Latitude,Year,ExtinguishedTime
Stephens Fire,2015-02-24 12:15:00+00:00,Siskiyou,"Approx. 18 miles northeast of McCloud, just south of Horse Peak",200.0,100.0,-121.851,41.485,2015,140.75
Otay Fire,2015-06-26 16:06:00+00:00,San Diego,off Otay Lakes Road and Woods Drive in Chula Vista,80.0,100.0,-116.9454387,32.6449163,2015,6.15
Ward Fire,2015-04-13 05:30:00+00:00,Plumas,East of Taylorsville,137.0,100.0,-120.70166666667,40.050833333333,2015,138.33
Highway Fire,2015-04-18 18:12:00+00:00,Riverside,at Hwy 71/Hwy 91 near the Prado Basin,1049.0,100.0,-117.642759,33.884313,2015,133.3
Forebay Fire,2015-05-11 10:26:00+00:00,Merced,off Hwy 152 near the O’Neill Forebay ,692.0,100.0,-121.06963,37.08312,2015,1.82
Christensen Fire,2015-05-28 17:00:00+00:00,Alameda,Christensen Rd and Burns Rd in the Altamont Pass area,242.0,100.0,0.0,0.0,2015,-6.5
Harrison Fire,2015-06-01 10:16:00+00:00,Riverside,Avenue 66 and Harrison Street near Thermal  ,80.0,100.0,0.0,0.0,2015,102.27
Site Fire,2015-06-05 20:22:00+00:00,Alameda,near Corral Hollow Road and the Alameda-San Joaquin county line.,300.0,100.0,0.0,0.0,2015,10.88
Snow Fire,2015-06-05 13:32:00+00:00,Riverside,"Snow Creek Road, south of Highway 111",25.0,100.0,0.0,0.0,2015,5.47
Oasis Fire,2015-06-05 19:57:00+00:00,Lake,Hwy 20 near Lake County- Colusa County Line,25.0,100.0,0.0,0.0,2015,10.8
FKU Lightning Fires,2015-06-05 17:00:00+00:00,Fresno,near Auberry,45.0,100.0,0.0,0.0,2015,27.0
Fox Fire,2015-06-07 12:06:00+00:00,Mariposa,"Lookout Mountain Rd & Fox Field Lane, south of Mormon Bar",25.0,100.0,0.0,0.0,2015,44.9
Riosa Fire,2015-06-08 10:33:00+00:00,Placer,"Riosa Rd & Thousand Oaks Dr, north of Lincoln",110.0,100.0,0.0,0.0,2015,1.2
Garage Fire,2015-06-09 15:23:00+00:00,Napa,off Pope Valley Road & Howell Mountain Road in Pope Valley ,36.0,100.0,0.0,0.0,2015,18.37
Bald Fire,2015-06-10 07:42:00+00:00,Humboldt,"off Bald Hills Rd, 15 miles east of Hwy 101 & Orick ",20.0,100.0,-123.8292,41.1513,2015,34.55
Saddle Fire ,2015-06-10 15:00:00+00:00,Trinity,4 miles northwest of Hyampom,1542.0,100.0,-123.168,40.924,2015,450.0
Pass Fire,2015-06-15 15:46:00+00:00,Kern,Off of Hwy 41 near Cottonwood Pass,67.0,100.0,-120.19482,35.77937,2015,2.98
Chiles Fire,2015-06-16 14:27:00+00:00,Napa,"Chiles Pope Valley Rd. & Lower Chiles Valley Rd., East of St. Helena",38.0,100.0,-122.3415,38.5287,2015,22.72
North Fire,2015-06-16 16:42:00+00:00,Amador,"Dry Creek and E Prouty Rd, west of Herald",60.0,100.0,-121.135426,38.260777,2015,14.05
